method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,578.5305547714233,0.5785305547714233,0.0,1615430,0.001,1000,1000,0.6109053542143035,0.32166786416925963,0.15383419394493103,1.4894864981192173,50.54724433199135,1.5148016033295293,0.48046095035475833,0.4690751226253942,0.7480951742898135,34,0.565877082423322,0.41996492246134354,0.4809729901656985,0.7307716110769671,16,0.5439031745680031,0.4994166215468879,0.42792820625455313,0.27034419108139673,0.18376947370935032,0.24173755069829006,0.0650463879108429,0.345364623148047,0.2582128543656791,0.9451293260473588,0.9658523722786018,0.4769819114755309,0.47926729917526245,0.7936260057147582,0.9554908491629803,0.7693912939757488,0.1426231130908191,0.6400772088065924,0.6086162567687433,0.9974496490630095,0.5971915569322911,0.1264975368976593,0.9022253155708313,0.7519416809082031,1.034236192703247,0.8197382688522339,0.5654162764549255,1.069644570350647,0,3.806864815680402,1.392501148505371,0.128067,0.128054,0.011,0.128067,True,50,pure-ae,hemato
DPMM-Base,248.61752319335938,0.24861752319335936,0.0,1615430,0.001,1000,1000,0.5532454248882933,0.27542903933664786,0.3756985068321228,0.7839048273575225,2097.3804394567437,6.506673552310761,0.7570929485422571,0.6277445538923315,0.8706880535241897,46,0.7518418519862594,0.655635701488566,0.6423740143509813,0.8555301722049161,40,0.7178466293481544,0.8587156979593008,0.729382399609806,0.8411752755966184,0.6967680695905134,0.7616776450457743,1.0,0.7815103606890597,0.819258473858262,0.976015612802498,0.9846876572122474,0.7554663468909727,0.4747562110424042,0.8205371412277395,0.9803516350073727,0.8319691006972056,0.11436773075971293,0.8611803467892772,0.6353049176449228,0.9916248513307113,0.650619461631156,0.5053033828735352,0.5535489320755005,0.46987465023994446,0.6141469478607178,0.30873313546180725,0.22078217566013336,0.3771764934062958,0,1.6420715058708342,1.8686933673227992,0.142487,0.148409,-3.991,0.142487,False,50,dpmm,hemato
DPMM-FM,224.15738558769226,0.22415738558769227,0.0,1639248,0.001,1000,1000,0.47382958096022815,0.16527431999632286,0.22305725514888763,1.096564595538493,1828.9711412216895,6.370016407156536,0.8116532872411769,0.6278439646593187,0.8665598354871734,66,0.7686856957958897,0.8140225375355058,0.6349627556892428,0.906463262566271,65,0.7851495185970064,0.8532428605534305,0.6955616956340958,0.8327051630206017,0.7266365209596819,0.7263820180388205,1.0,0.7770365600419524,0.8064328854326224,0.9697226125422846,0.9805679590597624,0.8103920431885697,0.6920517086982727,0.785830047852212,0.9751452858010234,0.8689516095236874,0.12513239297203663,0.963693893995607,0.6474243514874471,0.9936024329636463,0.6824632678546843,0.5667724013328552,0.4874095320701599,0.4145168364048004,0.6249159574508667,0.242456316947937,0.17182421684265137,0.3905199468135834,0,1.6036155141706772,1.5127274143146776,0.137048,0.139366,-1.664,0.165018,False,50,dpmm,hemato
