method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,38.95652651786804,0.038956526517868045,54.28271484375,1615430,0.001,1000,1000,0.6141047580935164,0.4531987893800946,0.17082089185714722,1.6137017493002173,57.209327697753906,0.9950800705559062,0.5898276727490815,0.46422691020511736,0.7469730342782319,38,0.6003425390774769,0.5643641459756643,0.49738819544566054,0.7441858968406646,37,0.6019794127539965,0.46023984833318304,0.4009844584060337,0.17692876624899545,0.13310117642126454,0.19363576,0.05561134219169617,0.2928135623523692,0.21561978130236764,0.9521651487553127,0.9558133402723566,0.58708099668178,0.5670557022094727,0.7869475699602734,0.9539892445138347,0.8005086670655049,0.16083642662707254,0.5777239799499512,0.5924850106239319,0.9976432781294692,0.5821721738326062,0.21048802137374878,0.7813481688499451,0.6829490661621094,0.8746166825294495,0.61355060338974,0.46641942858695984,0.7649543881416321,0,3.394342195159893,0.8813525591195125,0.283795,0.283896,-0.035,0.283795,True,50,pure-ae,setty
DPMM-Base,44.3030686378479,0.0443030686378479,55.24755859375,1615430,0.001,1000,1000,0.5837133915518514,0.35365165146898847,0.499130517244339,0.8138766640336099,1132.038330078125,5.661112920928197,0.7230145237108161,0.5715790600811375,0.8328960886639236,39,0.7091632241519591,0.887301250062281,0.6172820488156165,0.8507181777965627,38,0.78510049222482,0.7656167375054661,0.6890863928918247,0.792254235280201,0.6427199005877523,0.665499,0.4484178423881531,0.7224193165663111,0.6505429347337895,0.9656723046231243,0.9798459536820192,0.7211597194537569,0.4835318922996521,0.7974110523940625,0.9727591291525717,0.8200633419341979,0.11662459787181392,0.9264375567436218,0.6443899273872375,0.9927984908300029,0.6700626432081691,0.6632862091064453,0.5067950487136841,0.4274584650993347,0.6190292239189148,0.2599649429321289,0.18272075057029724,0.383197158575058,0,1.6982262355985283,1.52542019715882,0.303766,0.312934,-2.93,0.303766,False,50,dpmm,setty
DPMM-FM,48.22189545631409,0.048221895456314084,55.708984375,1639248,0.001,1000,1000,0.4332910039025137,0.24106271332835727,0.3065871596336365,1.0149345335601352,2214.08984375,8.3098296785479,0.8518521072007664,0.5898899613377772,0.8692931267612166,73,0.7703450650999201,0.9000449781986188,0.6010828384980282,0.8732097351881501,70,0.7914458506282657,0.9240394076285349,0.7668663750764974,0.8857269832873782,0.7368537590304273,0.934145,1.0,0.8283716312557095,0.8944293315961775,0.9574568479486513,0.9735800156128025,0.8508600503394476,0.46944963932037354,0.7749544385825168,0.9655184317807268,0.8319699039307532,0.1402870576589953,0.6280866265296936,0.6289557814598083,0.9944451214444838,0.5979436467732453,0.7068049311637878,0.40453845262527466,0.32698628306388855,0.5083152055740356,0.1660977452993393,0.1069200336933136,0.2583843469619751,0,1.0912667015310586,1.4623578617916033,0.294035,0.298017,-1.336,0.307256,False,50,dpmm,setty
