method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,186.4610698223114,0.1864610698223114,0.0,1615430,0.001,1000,1000,0.5765679047602577,0.3601485835305767,0.1477213203907013,1.6015195165571352,58.957243505194036,1.75121528599953,0.5856527619259347,0.4240276265078739,0.7381999963201373,35,0.582626794917982,0.5875197719158194,0.4480161284769773,0.728915777337021,20,0.5881505592432725,0.5000932911201988,0.437065277091472,0.6827222895466943,0.8035949845999508,0.2584902863014043,0.07442696690559387,0.6058689605895791,0.4464363624843835,0.9249159510798854,0.9591364385462746,0.5828781290051868,0.5723135471343994,0.7968013449324024,0.94202619481308,0.7963452675852047,0.15401138332096015,0.6724066682259628,0.6057897619586046,0.9975324462281838,0.6074350649334279,0.24051892757415771,0.8429206609725952,0.7441173791885376,0.9348435401916504,0.7134239673614502,0.5537106990814209,0.873932421207428,0,3.5251172057322764,1.3688704647500483,0.166711,0.166697,0.008,0.166711,True,50,pure-ae,hesc
DPMM-Base,323.5956754684448,0.3235956754684448,0.0,1615430,0.001,1000,1000,0.48679279375904416,0.2822528956194872,0.28528910875320435,0.8153893040414297,634.3902608939098,5.621066696819669,0.7633743799650193,0.5696801631224325,0.7984951296548028,34,0.7105165575807515,0.6520384341661202,0.548799974953821,0.7612889183311781,13,0.6540424424837065,0.7996629320126778,0.6995415730215113,0.1812471318472564,0.44929626488951424,0.7185552584145141,0.8025381088256835,0.5324369754427399,0.613467315457623,0.9699505594587562,0.9784560673085263,0.7617898412619429,0.6368897557258606,0.8097380722037946,0.9742033133836412,0.8551712682237537,0.12016332590942837,0.7446403975142694,0.643334448174898,0.993187436635661,0.6253314020585642,1.1310983896255493,0.49071115255355835,0.41555657982826233,0.6586155295372009,0.2455786168575287,0.17268727719783783,0.4337743818759918,0,1.4381371704260815,1.6894593903982487,0.182156,0.192816,-5.529,0.182156,False,50,dpmm,hesc
DPMM-FM,355.45515847206116,0.35545515847206116,0.0,1639248,0.001,1000,1000,0.2723292104587428,0.06796247584929989,0.26943540573120117,0.9131420766202336,2340.3641336926003,8.381087914206967,0.8547644658645634,0.4407410269608194,0.8112824779143979,55,0.7022626569132603,0.8092576320374865,0.482589153503386,0.8372932970596035,55,0.7097133608668252,0.9422755030875268,0.7756264866169741,0.10869041736907317,0.20819817200655621,0.9585858910599956,1.0,0.5086976447700327,0.6560883513390228,0.9109452684534651,0.9429747593026282,0.8537919113082753,0.8529582023620605,0.7878229446971176,0.9269600138780467,0.8792421833335989,0.16368720613709478,0.6301344610127134,0.60572559608903,0.9928366434193147,0.5980959766645382,1.0171194076538086,0.41943445801734924,0.28546300530433655,0.5101358890533447,0.17917421460151672,0.08148912340402603,0.2602386176586151,0,0.9982780370888338,1.6108712659914233,0.175806,0.179488,-2.051,0.187851,False,50,dpmm,hesc
