method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,280.12505078315735,0.28012505078315736,0.0,1615430,0.001,1000,1000,0.6956350520167607,0.40195740286997617,0.1597912311553955,1.616452886809748,44.27081861998358,1.0133531074025428,0.6447051381649981,0.41346096922168124,0.7300452698895098,23,0.596070459092063,0.559815810268638,0.4465310828341132,0.7147549187085602,11,0.5737006039371039,0.44112299115075926,0.3963975055614122,0.8499881801117335,0.878717832253757,0.18755334381876584,0.04879485070705414,0.6415566272694155,0.4637280943007071,0.9422482435597189,0.9494467863648192,0.642325943302249,0.6464913487434387,0.7846405526572056,0.945847514962269,0.8185000649316168,0.15703538728037614,0.6216922104309529,0.6030827938974392,0.9949282595978303,0.5941846628016496,0.13634410500526428,0.8893975019454956,0.8175740838050842,0.9698711633682251,0.7926239967346191,0.6684273481369019,0.9406501054763794,0,3.8085882682836405,1.1757719240946036,0.256505,0.256908,-0.157,0.256505,True,50,pure-ae,retina
DPMM-Base,215.91133856773376,0.21591133856773376,0.0,1615430,0.001,1000,1000,0.6610417144193378,0.5200836268493486,0.4072638750076294,0.8508271143497765,531.9429031497863,4.050578463473569,0.7028208538706194,0.5999120318978128,0.827887984566309,53,0.7102069567782471,0.6635464678240057,0.6272104212694254,0.8199485219647898,47,0.7035684703527404,0.7578750373517629,0.6362360094506994,0.23694212990812055,0.5232254286473067,0.6030481496844821,0.4350367546081543,0.5385696513394723,0.5075097823200769,0.974600052042675,0.9821063405325701,0.7008308248166242,0.5707063674926758,0.8068166986797969,0.9783531962876225,0.8355689133086609,0.11513486760702796,0.9799430622499973,0.6441437268107144,0.9882463781262195,0.6818670086984898,0.4825681447982788,0.5478633642196655,0.42910170555114746,0.7487863302230835,0.3087885081768036,0.1841282844543457,0.5606809854507446,0,1.9273348854711858,1.5731831720723497,0.273174,0.286598,-4.684,0.273174,False,50,dpmm,retina
DPMM-FM,315.97324228286743,0.31597324228286744,0.0,1639248,0.001,1000,1000,0.4021361513293403,0.1488129015487726,0.16885943710803986,1.2634137015691014,1221.5509542865498,7.177812861725535,0.8709696425733809,0.4737597408962383,0.8192132472842815,40,0.7213142102513003,0.792291622895121,0.4904139051445101,0.7698753416272579,30,0.6841936232222964,0.9074281888773769,0.7498317655139748,0.12923425567350774,0.3382954153156641,0.8743926949642549,1.0,0.5311974063451308,0.6718381844415915,0.9366630236794171,0.9598979963570128,0.8701056042871465,0.9281461238861084,0.781863439116103,0.948280510018215,0.9041594495573338,0.14732986884434543,0.7236654650257409,0.6255337739751234,0.9940452595873953,0.6226435918581513,0.6348265409469604,0.47086000442504883,0.36304593086242676,0.7036353945732117,0.23353369534015656,0.13180235028266907,0.49510273337364197,0,1.3366537883110503,1.701303410146425,0.266718,0.271511,-1.766,0.281788,False,50,dpmm,retina
