method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,38.37765336036682,0.038377653360366824,55.23974609375,1615430,0.001,1000,1000,0.5995916530994891,0.37183030357229296,0.13233517110347748,1.6576399156277033,45.69145202636719,1.0485587383241621,0.5220130044995596,0.39218393135040686,0.7179031546436965,28,0.5440333634978877,0.4456161904860567,0.42535512147572263,0.6953090770386277,20,0.5220934630001356,0.46053085041524744,0.4064166086844432,0.8201257146117171,0.8510753888853624,0.2045972,0.05151931196451187,0.6345371406491925,0.45963179297511086,0.9282917859311302,0.9355867811605516,0.5188122146027333,0.4872577488422394,0.7746928416435371,0.9319392835458409,0.7627634426210054,0.16946300420687951,0.6235928535461426,0.6033033132553101,0.9979071031418576,0.5985665685375474,0.1708625853061676,0.845686137676239,0.7624170184135437,0.8938916921615601,0.7168940901756287,0.5812797546386719,0.7990424036979675,0,3.621984744882916,1.1184998056066568,0.256238,0.25643,-0.075,0.256238,True,50,pure-ae,lung
DPMM-Base,43.22107768058777,0.04322107768058777,55.24755859375,1615430,0.001,1000,1000,0.2959961831993347,0.13228975263720535,0.26111382246017456,0.9041819753029507,1052.0284423828125,8.409475297935401,0.6938101010499835,0.47504532671347677,0.79177133816361,20,0.6535422553090234,0.738429133900876,0.5262919193455525,0.8124523944805095,17,0.6923911492423126,0.9436046838556654,0.7783282341877985,0.10994684223190528,0.22363844016184986,0.9533805,1.0,0.5138795501093048,0.6597156850765133,0.9448024980483997,0.9717151530922022,0.6917597324326479,0.42705634236335754,0.8081855851458252,0.958258825570301,0.8002963561087889,0.12538975501113586,0.3465374708175659,0.6584925651550293,0.9953113929428107,0.5314327959816354,1.0078296661376953,0.35837531089782715,0.2693820595741272,0.4688379466533661,0.13087555766105652,0.0725666955113411,0.21980902552604675,0,0.7579602612711742,1.4313760264056323,0.280503,0.296365,-5.352,0.280503,False,50,dpmm,lung
DPMM-FM,48.43590784072876,0.04843590784072876,55.708984375,1639248,0.001,1000,1000,0.16967598042906412,0.0686890629534704,0.18132294714450836,0.7375826317169056,2382.899169921875,8.802000072783134,0.8609497618694915,0.5277240614001495,0.8818911557270709,86,0.756854992998904,0.7904195587101215,0.526140624047718,0.8639031716785294,88,0.7268211181454562,0.9385960270230392,0.7711248959094533,0.10401517787490686,0.190456861132153,0.9804478,1.0,0.501048240484888,0.6507337683394216,0.9225851331425102,0.9598914042848469,0.8600186265006448,0.43860897421836853,0.7865620631214103,0.9412382687136785,0.8181507449969098,0.17207126948775056,0.16740480065345764,0.6068500876426697,0.9931864418861527,0.48487814991750766,0.8467182517051697,0.28904175758361816,0.24616886675357819,0.3374713659286499,0.0842301994562149,0.06059911102056503,0.11388691514730453,0,0.47043174917016006,1.2112182806111014,0.266245,0.269679,-1.273,0.275369,False,50,dpmm,lung
