method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,267.657208442688,0.267657208442688,0.0,1615430,0.001,1000,1000,0.7174827860082963,0.5175607125311892,0.1471858024597168,1.5716971060488099,39.27824839643632,0.9852828655308752,0.4391500293416875,0.4207653024965692,0.688627245717218,25,0.5161808591851582,0.5539422458776636,0.4404855111966223,0.71272566296601,15,0.5690511400134319,0.4223924377704455,0.3932421046402992,0.8493936896990171,0.884214269754767,0.18157326939634671,0.05261717438697815,0.6373106254661323,0.461902590142386,0.9320579408448261,0.9385986642380085,0.43539435620284184,0.42811062932014465,0.7827748424208393,0.9353283025414173,0.7420441225946796,0.15872803761445184,0.6093098226419533,0.6065171109873169,0.9971439055577824,0.5929247192003761,0.1921861618757248,0.8747132420539856,0.797620952129364,0.9372892379760742,0.7673859596252441,0.6361991763114929,0.8785111308097839,0,3.7693166553899515,1.0835843537765146,0.317383,0.317382,0.0,0.317383,True,50,pure-ae,pituitary
DPMM-Base,207.10044193267822,0.20710044193267824,0.0,1615430,0.001,1000,1000,0.5735343974019861,0.2929200288125785,0.23156999051570892,1.004245257019269,568.9358009228449,3.8549422441984147,0.8171821343830935,0.5680195774683838,0.8079004578088863,36,0.7310340565534545,0.7498401129659262,0.5742481161288159,0.8012302371549498,24,0.7084394887498973,0.7595323880772206,0.5810925166346846,0.295744405721163,0.48894757254296695,0.45027329358698004,0.3189944505691528,0.5313292207440088,0.46762878969155197,0.9660574204180762,0.9738822100789314,0.8159579136768109,0.7855031490325928,0.8078309389357745,0.9699698152485038,0.886533574565115,0.1208364266270725,0.9673290147842802,0.6550687392878907,0.9913363226630468,0.6836426258405726,0.6265152096748352,0.471759557723999,0.4143598675727844,0.563515305519104,0.22480997443199158,0.1716940999031067,0.3175494968891144,0,1.5744659440448732,1.4238226929115827,0.341735,0.363221,-5.915,0.341735,False,50,dpmm,pituitary
DPMM-FM,215.9565827846527,0.2159565827846527,0.0,1639248,0.001,1000,1000,0.5365523898214543,0.22324534358643364,0.24684546887874603,1.1290108183939362,441.39043002805784,5.101012620332127,0.792773212822489,0.5287249400754638,0.8394071419693251,70,0.7203017649557593,0.7040725310111333,0.5465653091423673,0.8293322394155558,67,0.6933233598563522,0.7935823252830084,0.6498735779138757,0.21067314774965812,0.5107544014843455,0.6491091456661219,0.6577907085418702,0.541220863107722,0.5761918167379665,0.9361783328996444,0.9598705872148495,0.7913855403272267,0.7036155462265015,0.7825876299013871,0.9480244600572469,0.8536103494378094,0.14455332838406337,0.7314443986298523,0.6353509557279077,0.9946259687781953,0.6264936628800046,0.6510030031204224,0.3563763499259949,0.30098336935043335,0.46872517466545105,0.12969575822353363,0.09059098362922668,0.2197032868862152,0,1.1542346045001093,1.1258038538412884,0.330654,0.335189,-1.353,0.348304,False,50,dpmm,pituitary
