method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,38.312758922576904,0.038312758922576906,55.23974609375,1615430,0.001,1000,1000,0.7260110413160559,0.5475468115616885,0.1865568310022354,1.4596477291756096,66.68309020996094,1.5564271646366965,0.5538660121735606,0.5163648208632415,0.7570742072377254,34,0.6091016800915092,0.565743052658935,0.5291361816479114,0.7496097777556678,23,0.6148296706875048,0.4817317567737431,0.4381665363124244,0.6634255910635924,0.7944131173797406,0.2598305,0.08398526906967163,0.5944342503823752,0.4412995571061512,0.9641644548529794,0.9689589730245468,0.5508785226093926,0.5482678413391113,0.782770788291076,0.9665617139387631,0.7969337156759781,0.13266518188567186,0.6239638328552246,0.6193191409111023,0.9972395738744545,0.5932969323816133,0.25450608134269714,0.8392980694770813,0.7732070088386536,1.025305986404419,0.7098578214645386,0.5978490710258484,1.0512523651123047,0,3.5787576930481615,1.1921716965269744,0.297616,0.297498,0.039,0.297616,True,50,pure-ae,dentate
DPMM-Base,43.87721395492554,0.04387721395492554,55.24755859375,1615430,0.001,1000,1000,0.5543903572340879,0.2739281715768949,0.45150047540664673,1.0231699658305315,626.8016967773438,4.982344768301439,0.737136686705398,0.602216052840731,0.8290767828963582,43,0.7228098408141624,0.6699946450126705,0.6133998813047399,0.8268295834720419,31,0.7034080365964841,0.7775494630821077,0.6806529096165237,0.18794126204262196,0.38818768326104613,0.7036873,0.5819215178489685,0.5085828295005749,0.5305844419655574,0.9729714632665453,0.9823242258652095,0.7353764500350297,0.6876145005226135,0.7960985159073168,0.9776478445658774,0.8586721666937654,0.11661964860183123,0.7845442891120911,0.6422659158706665,0.9961864427925937,0.6349040740942957,0.5604527592658997,0.5607045888900757,0.42729490995407104,0.8381495475769043,0.32986360788345337,0.18258093297481537,0.7024946212768555,0,2.0827007154165282,1.5080861030897106,0.314589,0.329442,-4.509,0.314589,False,50,dpmm,dentate
DPMM-FM,50.15248942375183,0.050152489423751834,55.708984375,1639248,0.001,1000,1000,0.4261984675202181,0.21067963155927324,0.22379979491233826,1.225233224555744,1298.2244873046875,8.350984226409148,0.8914466906778316,0.5695602925921806,0.8901540164086864,66,0.7837203332262329,0.8248859451652978,0.5662448246440807,0.8485434165731827,60,0.7465580621275203,0.9217744011731875,0.7648314752191414,0.11080572902535857,0.2440201539040754,0.94944245,1.0,0.5103579398304408,0.6572505578813085,0.95794708994709,0.9737316332726169,0.8907197748014248,0.9125165939331055,0.7898848565131493,0.9658393616098535,0.91510655167954,0.1447809948032665,0.8575565218925476,0.6149287819862366,0.9966549634955436,0.6534803155443986,0.43060338497161865,0.45588579773902893,0.3045641779899597,0.5936902165412903,0.21522736549377441,0.09275934100151062,0.3524681031703949,0,1.4804359062505983,1.4568610140059977,0.304743,0.308532,-1.228,0.320575,False,50,dpmm,dentate
