method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,31.47383761405945,0.03147383761405945,55.23974609375,1615430,0.001,1000,1000,0.6480251324658135,0.5438253207665201,0.19763271510601044,1.5901592701250666,78.92948150634766,1.6041297508587582,0.6541980075586609,0.5400856237240773,0.7750476956101179,51,0.6564437756309519,0.6574198588016253,0.549089240086918,0.7778592471101488,47,0.6614561153328973,0.48176463531202857,0.4391785974532235,0.6594244860461949,0.8005057254907604,0.26206487,0.08013348281383514,0.5952183610755518,0.44069289796956584,0.9572447298836249,0.9678323729086937,0.65146080757641,0.5902650952339172,0.789332822611987,0.9625385513961593,0.8197790632684653,0.16697748307777316,0.5562759637832642,0.6061568856239319,0.9982569534510102,0.5819168214839948,0.14616677165031433,0.8501685857772827,0.7516810894012451,0.9443460702896118,0.7256256341934204,0.5650244951248169,0.8917895555496216,0,3.683494748301072,0.9912458174200501,0.341255,0.341119,0.04,0.341255,True,50,pure-ae,endo
DPMM-Base,35.47776389122009,0.03547776389122009,55.24755859375,1615430,0.001,1000,1000,0.5631051652954554,0.3480814486057206,0.583743691444397,0.6492921927255046,816.461669921875,4.769778630147499,0.6813250077782295,0.6808745042368542,0.8012095543727978,34,0.7211363554626272,0.7962911992310996,0.6678249712911257,0.8553021263076687,21,0.7731394322766314,0.7894835181348681,0.6829926701099709,0.22594109120522435,0.4076756183465534,0.60213107,0.6673778295516968,0.5265232244491542,0.5687796149206137,0.9903111971338778,0.9834171566543009,0.6788025319044098,0.6301023364067078,0.8116964612517441,0.9868641768940893,0.8468656433741882,0.10497996960906202,0.7670139074325562,0.7022677063941956,0.9930138347550462,0.641818854547715,0.7893857359886169,0.5532152056694031,0.3760213851928711,0.7048082947731018,0.31427693367004395,0.1413920819759369,0.4967547655105591,0,2.061641012565174,1.4323810746395533,0.374846,0.384385,-2.482,0.374846,False,50,dpmm,endo
DPMM-FM,40.432756423950195,0.040432756423950195,55.708984375,1639248,0.001,1000,1000,0.46046601246264024,0.19319431254148903,0.6804625391960144,0.660261928975024,2056.635498046875,5.9200710398634016,0.9077326263829447,0.5670594949562758,0.8850335428957462,57,0.7866085547449889,0.8464074972158948,0.5408629777053295,0.8353475840398285,40,0.7408726863203509,0.852211168048988,0.7068618351939311,0.15765645765983166,0.27651452867410076,0.7639209,1.0,0.4983109973942128,0.6488176981759489,0.9465593337145706,0.9677370635933078,0.9070022828367911,0.9267026782035828,0.7868643502483624,0.9571481986539392,0.9153356512084256,0.1620734908136483,0.8300848603248596,0.636512279510498,0.995240694712516,0.6559778313403805,0.9609983563423157,0.5014445781707764,0.4044448733329773,0.6820711493492126,0.2597057819366455,0.1635756492614746,0.4652210474014282,0,1.686645287818766,1.5372090924709438,0.361572,0.369675,-2.192,0.378812,False,50,dpmm,endo
