Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset,Sweep,SweepVal,method,time_s_wall
38.448522090911865,0.04806065261363983,54.38232421875,1639248,0.001,800,800,0.608845213676321,0.3971853180463507,0.37546664476394653,0.8957589477402295,987.593017578125,6.418841761233094,0.7227938781310859,0.6113986026205365,0.8423270111607564,51,0.7255064973041262,0.8559700143031017,0.6265046055249377,0.8752800557503828,49,0.7859182251928075,0.8359629302983155,0.7127531186007663,0.8330708267888784,0.5740433667060676,0.7582164,0.854591965675354,0.738957560598507,0.7678620996771527,0.9729908925318761,0.9803507676294562,0.720937596343991,0.4734424650669098,0.8013332503369779,0.9766708300806661,0.8209543003316462,0.11782232120762189,0.8493860960006714,0.6507036685943604,0.9934615086785465,0.6528433986203,0.5416994690895081,0.49462857842445374,0.4395562410354614,0.5249935984611511,0.24523504078388214,0.1932096928358078,0.2756182551383972,0,1.6005030538180447,1.5342797520925853,0.298218,0.303082,-1.605,0.298218,False,50,dpmm,setty,flow_weight,0.0,DPMM-FM(flow_w=0.00),43.5543851852417
41.5892436504364,0.0519865545630455,55.708984375,1639248,0.001,800,800,0.5231240204451693,0.3215645815137016,0.3433358371257782,0.9908686634442713,1193.579833984375,5.72235856402308,0.8977429839894789,0.5710313107513326,0.8457110771579254,38,0.7714951239662456,0.9087896911465636,0.5952350494363506,0.835233418618827,33,0.7797527197339139,0.8533422033216929,0.6756526388212731,0.814243628624574,0.6274376901813629,0.6757181,1.0,0.7426690402372257,0.7740499617032,0.9682890103217972,0.978978575765461,0.8970582305823637,0.8290318846702576,0.8039079948753096,0.9736337930436291,0.908483248209803,0.12240039594159861,0.9985536336898804,0.6405753493309021,0.995498238097338,0.6892569042649298,0.5666481852531433,0.4557483196258545,0.39335352182388306,0.516998827457428,0.20879516005516052,0.15472698211669922,0.2672877609729767,0,1.5017076968528758,1.3892722993872813,0.295329,0.301225,-1.957,0.304758,False,50,dpmm,setty,flow_weight,0.05,DPMM-FM(flow_w=0.05),44.845916509628296
40.07946419715881,0.05009933024644852,55.708984375,1639248,0.001,800,800,0.5157198359136829,0.30303066352896885,0.33945342898368835,0.8477867062202991,5024.49072265625,8.806102028204227,0.8333318013607532,0.5498582656082263,0.8222508037205479,38,0.7351469568965091,0.8495842412410821,0.5843637581905885,0.8291137892751971,38,0.754353929568956,0.9449058210030179,0.7939413911836063,0.8960423675396924,0.8228799720770441,0.98069906,1.0,0.8644423879508402,0.9264309126796437,0.9652219620088472,0.9742319368548876,0.8322157252094182,0.5849863290786743,0.801398215022181,0.9697269494318674,0.854630186267646,0.12728532541450135,0.5513453483581543,0.6429486274719238,0.9936802386577108,0.5788148849755725,0.39474478363990784,0.4503440260887146,0.4282386302947998,0.4782683551311493,0.2030453383922577,0.18338832259178162,0.2287406176328659,0,1.049220489893704,1.7231040273674652,0.296003,0.301875,-1.945,0.308464,False,50,dpmm,setty,flow_weight,0.1,DPMM-FM(flow_w=0.10),41.13229417800903
39.82802700996399,0.04978503376245499,55.708984375,1639248,0.001,800,800,0.4138378488378983,0.1515201010242079,0.2825680077075958,0.848912158802891,7206.07666015625,8.515413025717432,0.9111217291200417,0.5219663416706852,0.8448195619092885,38,0.7593025442333384,0.8645074111173593,0.5738996188120814,0.847013669692205,44,0.761806899873882,0.9291403815155502,0.7930093021162321,0.8902685882038731,0.8300967805943795,0.9535973,1.0,0.8606287631075087,0.916393579675779,0.9524114840836152,0.9704584959666926,0.9105265650796859,0.8482180833816528,0.8073991239702197,0.961434990025154,0.9084081237511702,0.13132392972036624,0.6093910336494446,0.6457217335700989,0.9906899190314277,0.5942816539928343,0.7748215198516846,0.41798144578933716,0.3942963182926178,0.4903505742549896,0.17547552287578583,0.15546958148479462,0.24044367671012878,0,1.0110310860180567,1.5796020611105892,0.299531,0.305851,-2.066,0.321704,False,50,dpmm,setty,flow_weight,0.2,DPMM-FM(flow_w=0.20),55.581013679504395
40.929882764816284,0.051162353456020354,55.708984375,1639248,0.001,800,800,0.5679365260003517,0.3585539925883855,0.35571977496147156,0.946288324744906,1736.9659423828125,7.425910217610001,0.8595991589909943,0.7055656079452453,0.9024625033530379,84,0.8225424234297591,0.8720740406305413,0.7139708963180351,0.9046278330695028,84,0.8302242566726931,0.8714895161341812,0.7458674668261893,0.8659375959015411,0.6826118680587635,0.8545975,1.0,0.7914766117301688,0.8521175823791378,0.9795132275132276,0.9883889322577847,0.8586589794513048,0.6777729392051697,0.80305002838026,0.9839510798855061,0.8818891977822089,0.11440732491957437,0.7856546640396118,0.6437634229660034,0.9959791010325126,0.6349511282394256,0.6172093749046326,0.47444623708724976,0.40068623423576355,0.5530185103416443,0.22703519463539124,0.16054946184158325,0.3058294653892517,0,1.5112662882333112,1.5056200267702833,0.297118,0.303315,-2.043,0.306272,False,50,dpmm,setty,flow_noise_scale,0.25,DPMM-FM(flow_noise=0.25),43.74011588096619
40.87075066566467,0.05108843833208084,55.708984375,1639248,0.001,800,800,0.49147962435754944,0.27427891316419495,0.29259684681892395,0.9838277072565551,5702.89697265625,8.788348149529307,0.8733646205867825,0.5362172816654907,0.8110283274138153,38,0.7402034098886962,0.8410868398551389,0.5632529956259075,0.8100842519733179,38,0.7381413624847881,0.9431995605333169,0.7871654193870818,0.8957188122672989,0.8207726953585752,0.97911984,1.0,0.8617141218865683,0.9245930121285106,0.9613513747939978,0.9724701188307746,0.872516620020194,0.6608127355575562,0.7936120668952031,0.9669107468123862,0.871278943818352,0.13055184360306854,0.5556277632713318,0.6419119834899902,0.9930755445179626,0.5802917837205883,0.5716736912727356,0.4597283899784088,0.4388394355773926,0.4915018379688263,0.21160320937633514,0.19258005917072296,0.24157404899597168,0,1.0562737431780418,1.7679861769450567,0.297879,0.304409,-2.145,0.310305,False,50,dpmm,setty,flow_noise_scale,0.5,DPMM-FM(flow_noise=0.50),42.35448622703552
40.688902139663696,0.05086112767457962,55.708984375,1639248,0.001,800,800,0.5353520469813545,0.3146859237937102,0.4559237062931061,0.6160432117344427,8264.494140625,8.855433950747374,0.8800897449182432,0.6975330283432004,0.8934205831454963,76,0.8236811188023133,0.9007346555463204,0.6240339707288067,0.8915890718302018,38,0.8054525660351096,0.9488387785469903,0.8101771114987757,0.8971337514318894,0.847706645606292,0.98589164,1.0,0.8759640717709869,0.9337495517832444,0.978061236880909,0.9877592158903634,0.8792867784429957,0.7307587265968323,0.8050249832895655,0.9829102263856362,0.893966861247717,0.11242761692650333,0.5419379472732544,0.6672634482383728,0.9909747430105369,0.5781509388621668,0.517333984375,0.467287540435791,0.4111880362033844,0.534552812576294,0.21955275535583496,0.1690755933523178,0.2857467234134674,0,1.067794718434955,1.805726854298043,0.298833,0.303523,-1.545,0.351278,False,50,dpmm,setty,flow_noise_scale,0.75,DPMM-FM(flow_noise=0.75),43.07763195037842
40.42406511306763,0.05053008139133453,55.708984375,1639248,0.001,800,800,0.508180579406668,0.2771618313733139,0.3881649374961853,0.7772202992062247,5509.6845703125,8.565529147431995,0.9246620078096577,0.6844804948730954,0.9043393277374403,58,0.8378272768067312,0.8565427363359598,0.6895476910243109,0.8744128481356237,59,0.8068344251652982,0.9293740536911983,0.795993426392183,0.8914315972327091,0.8281185187941669,0.9589523,1.0,0.8612293990275643,0.9183003918241155,0.9845540810130974,0.989408274785324,0.9241575148286354,0.8160396814346313,0.8034226297956446,0.9869811778992107,0.9174272266260907,0.11006681514476614,0.5938583612442017,0.6688635349273682,0.9919325095024657,0.5911803052047004,0.6017118692398071,0.37910914421081543,0.3215560019016266,0.4293263554573059,0.14515350759029388,0.10339827090501785,0.18432112038135529,0,0.9660729931742692,1.4057875933978226,0.301564,0.308099,-2.121,0.324467,False,50,dpmm,setty,flow_noise_scale,1.0,DPMM-FM(flow_noise=1.00),42.67261815071106
38.72561955451965,0.048407024443149566,55.33935546875,1639248,0.001,800,800,0.7152815338958548,0.5331208474865403,0.22734586894512177,1.3429515482856937,524.3287353515625,6.92105384982966,0.9019775921872002,0.6340028851920289,0.8761205075904578,66,0.8040336616565623,0.7490409544846341,0.6376795729005518,0.8419930055961601,51,0.7429045109937821,0.8656007241807728,0.7042745437734408,0.15133912347691317,0.42356838472413394,0.8036132,1.0,0.5361956940388152,0.6753369858271706,0.9778138606991066,0.9837408274785324,0.9013211953907538,0.9132580757141113,0.800359455236535,0.9807773440888194,0.9262117931013097,0.1184310814154912,0.7259916663169861,0.6284303665161133,0.9967935756384657,0.6174116724717641,0.7412647008895874,0.5094411969184875,0.4162955582141876,0.6192132830619812,0.2642737329006195,0.17330197989940643,0.3834250867366791,0,1.8975170160176968,1.302565071136367,0.309115,0.317244,-2.562,0.309115,False,50,dpmm,dentate,flow_weight,0.0,DPMM-FM(flow_w=0.00),43.477805852890015
40.88341665267944,0.051104270815849305,55.708984375,1639248,0.001,800,800,0.5850173229280571,0.3621742956099579,0.3119907081127167,0.9904122460654375,1756.4373779296875,8.559931851211243,0.8517131001351433,0.6849599198803406,0.9017778951294201,76,0.8128169717149679,0.7455830342891986,0.7049634379237947,0.8878785171964915,79,0.7794749964698283,0.9422718116079408,0.7765548658444346,0.10823848669563221,0.20982062846082905,0.9609411,1.0,0.5092214481522093,0.6564550137065465,0.9744168618266978,0.9856268540202966,0.8507201124275555,0.8056050539016724,0.7991794428771473,0.9800218579234972,0.8992616971628111,0.11121999505073003,0.9271213412284851,0.6514871716499329,0.9959301551973343,0.6714396657816206,0.3613523244857788,0.537079930305481,0.35552987456321716,0.6861058473587036,0.2966981530189514,0.12640149891376495,0.4707412123680115,0,1.7270741362422366,1.721741511104637,0.309817,0.315858,-1.913,0.319053,False,50,dpmm,dentate,flow_weight,0.05,DPMM-FM(flow_w=0.05),48.243489503860474
