method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,38.632113456726074,0.038632113456726076,54.28271484375,1615430,0.001,1000,1000,0.6141047580935164,0.4531987893800946,0.17082089185714722,1.6137017493002173,57.209327697753906,0.9950800705559062,0.5898276727490815,0.46422691020511736,0.7469730342782319,38,0.6003425390774769,0.5643641459756643,0.49738819544566054,0.7441858968406646,37,0.6019794127539965,0.46023984833318304,0.4009844584060337,0.17692876624899545,0.13310117642126454,0.19363576,0.05561134219169617,0.2928135623523692,0.21561978130236764,0.9521651487553127,0.9558133402723566,0.58708099668178,0.5670557022094727,0.7869475699602734,0.9539892445138347,0.8005086670655049,0.16083642662707254,0.5777239799499512,0.5924850106239319,0.9976432781294692,0.5821721738326062,0.21048802137374878,0.7813481688499451,0.6829490661621094,0.8746166825294495,0.61355060338974,0.46641942858695984,0.7649543881416321,0,3.394342195159893,0.8813525591195125,0.283795,0.283896,-0.035,0.283795,True,50,pure-ae,setty
Pure-Contr-AE,63.028722524642944,0.06302872252464295,67.9873046875,2421736,0.001,1000,1000,0.6196070676455052,0.48289018975561143,0.13838405907154083,1.6986110610561664,56.771358489990234,1.170184942773477,0.6908246949445008,0.4435934068184771,0.7820596941063476,61,0.6388259319564419,0.6502245230393057,0.4062431509208591,0.7378117276560134,29,0.5980931338720594,0.4803463778833031,0.4239328347627942,0.27663178553226997,0.17248730054667932,0.23671465,0.07336457073688507,0.33834957468126164,0.2548620987068313,0.91181299332119,0.9451362650706913,0.6887543348675838,0.6653366088867188,0.7878251659701442,0.9284746291959407,0.8212233328853781,0.1763870329126454,0.6569693684577942,0.5966870188713074,0.9983257737854435,0.6070922985067976,0.3524802327156067,0.7894503474235535,0.6115444302558899,0.9403151869773865,0.6330744028091431,0.3739866018295288,0.8841926455497742,0,3.368411405021529,1.1590900362170726,0.296176,0.296751,-0.194,5.467553,True,50,pure-ae,setty
DPMM-Base,43.27691960334778,0.04327691960334778,55.24755859375,1615430,0.001,1000,1000,0.5115851164127159,0.2999194478646134,0.30603668093681335,0.9937789813047024,1969.7569580078125,6.420760862148721,0.9181499515616867,0.5937779933679472,0.8651137197340665,38,0.7923472215545667,0.9086018681511934,0.6420124569261004,0.8763859364157541,33,0.8090000871643493,0.8543895579895509,0.7120706151549876,0.840677025405071,0.7482698591268657,0.75733584,1.0,0.7888517644191188,0.8216266436469755,0.9672984647410877,0.9847952120739006,0.9176018512774488,0.853783905506134,0.8079470942388336,0.9760468384074942,0.917912227707483,0.11555060628557287,0.8332396745681763,0.6462284326553345,0.9946600781717941,0.6474196979202195,0.7605210542678833,0.5156713724136353,0.4618397653102875,0.595496654510498,0.26725059747695923,0.21329598128795624,0.35461628437042236,0,1.553084638390144,1.7160549882912386,0.304947,0.316291,-3.587,0.304947,False,50,dpmm,setty
DPMM-Contr,113.24552655220032,0.11324552655220031,64.39697265625,1619786,0.001,1000,1000,0.48821852716700026,0.30549688030860156,0.25422030687332153,1.17432982971532,145.33767700195312,2.979774802977848,0.8125596720349487,0.5461598210494455,0.8325886365425362,38,0.7304360432089768,0.7827716670007118,0.564930952948901,0.8104260439317365,27,0.7193762212937832,0.5326786424728597,0.5581771369685341,0.6319657100394803,0.43276968054803483,0.4346684,0.20599529147148132,0.5388977925072272,0.44104847809126774,0.9694127851504901,0.9722397432561367,0.8113044974932648,0.7918409705162048,0.8112484188716654,0.9708262642033134,0.8878121132485125,0.13407572383073496,0.6737093925476074,0.6227282881736755,0.9938425617373361,0.6060889915723385,0.7810150384902954,0.768361508846283,0.41207098960876465,1.0381717681884766,0.6278029084205627,0.1698025017976761,1.0778005123138428,0,3.2966912619493725,1.3099039837723896,0.332142,0.331688,0.137,12.154227,True,50,dpmm,setty
