method,Time_s,SecPerEpoch,PeakGPU_MB,NumParams,LR,Epochs,EpochsTrained,NMI,ARI,ASW,DAV,CAL,COR,DRE_umap_distance_correlation,DRE_umap_Q_local,DRE_umap_Q_global,DRE_umap_K_max,DRE_umap_overall_quality,DRE_tsne_distance_correlation,DRE_tsne_Q_local,DRE_tsne_Q_global,DRE_tsne_K_max,DRE_tsne_overall_quality,LSE_manifold_dimensionality,LSE_spectral_decay_rate,LSE_participation_ratio,LSE_anisotropy_score,LSE_trajectory_directionality,LSE_noise_resilience,LSE_core_quality,LSE_overall_quality,DREX_trustworthiness,DREX_continuity,DREX_distance_spearman,DREX_distance_pearson,DREX_local_scale_quality,DREX_neighborhood_symmetry,DREX_overall_quality,LSEX_two_hop_connectivity,LSEX_radial_concentration,LSEX_local_curvature,LSEX_entropy_stability,LSEX_overall_quality,latent_mean_norm,latent_std_mean,latent_std_min,latent_std_max,latent_var_mean,latent_var_min,latent_var_max,latent_near_zero_dims,latent_pairwise_dist_mean,latent_pairwise_dist_std,recon_final,recon_prev_window,recon_rel_change_pct,total_loss_final,converged,window,Series,Dataset
Pure-AE,31.185920000076294,0.031185920000076296,55.23974609375,1615430,0.001,1000,1000,0.6480251324658135,0.5438253207665201,0.19763271510601044,1.5901592701250666,78.92948150634766,1.6041297508587582,0.6541980075586609,0.5400856237240773,0.7750476956101179,51,0.6564437756309519,0.6574198588016253,0.549089240086918,0.7778592471101488,47,0.6614561153328973,0.48176463531202857,0.4391785974532235,0.6594244860461949,0.8005057254907604,0.26206487,0.08013348281383514,0.5952183610755518,0.44069289796956584,0.9572447298836249,0.9678323729086937,0.65146080757641,0.5902650952339172,0.789332822611987,0.9625385513961593,0.8197790632684653,0.16697748307777316,0.5562759637832642,0.6061568856239319,0.9982569534510102,0.5819168214839948,0.14616677165031433,0.8501685857772827,0.7516810894012451,0.9443460702896118,0.7256256341934204,0.5650244951248169,0.8917895555496216,0,3.683494748301072,0.9912458174200501,0.341255,0.341119,0.04,0.341255,True,50,pure-ae,endo
Pure-Contr-AE,51.69619846343994,0.05169619846343994,67.9873046875,2421736,0.001,1000,1000,0.6293963800662288,0.5184310478159044,0.20654872059822083,1.4175480546269728,112.01602935791016,2.7100900786395323,0.7991696671343034,0.5226688785687467,0.8177890314911942,42,0.7132091923980814,0.7875836417145655,0.5338493280492944,0.8154191721734835,36,0.7122840473124478,0.5088978675394588,0.514427663334907,0.436998667760539,0.644736580791838,0.37265503,0.1636393964290619,0.5262651948566857,0.41747745607345654,0.9593156302389576,0.9686662072268899,0.797579992130773,0.7664145231246948,0.7943752102077163,0.9639909187329238,0.8750570802769926,0.16965741124464706,0.6357276439666748,0.608329713344574,0.9976821729927995,0.6028492353871738,0.26408421993255615,0.7935885190963745,0.6560266613960266,1.0034428834915161,0.6400235295295715,0.4303710162639618,1.0068975687026978,0,3.362397160250945,1.2363018021196506,0.359054,0.359325,-0.075,5.533939,True,50,pure-ae,endo
DPMM-Base,35.09438729286194,0.03509438729286194,55.24755859375,1615430,0.001,1000,1000,0.5639581189697007,0.3868480652884538,0.5617719888687134,0.7565764500304655,1018.5337524414062,5.512004806260011,0.8796187920763857,0.6973394505483396,0.8727330292482484,51,0.8165637572909912,0.8697123651468585,0.6376257664813968,0.8404246454492833,18,0.7825875923591795,0.8234492129150706,0.7008878094293969,0.1926985463957143,0.3900962356721487,0.6745132,1.0,0.5267829511030826,0.6687480657721578,0.9850525667531782,0.9909641881357009,0.878665913124286,0.8613338470458984,0.8145053905775517,0.9880083774444395,0.9197550471801756,0.11451167288299488,0.7402210831642151,0.6597765684127808,0.9942047607766155,0.6271785213091515,0.7829720377922058,0.5638800263404846,0.48960840702056885,0.6413722634315491,0.32041341066360474,0.23971638083457947,0.41135841608047485,0,2.0959141720179,1.4255795561064881,0.373497,0.386899,-3.464,0.373497,False,50,dpmm,endo
DPMM-Contr,91.13939428329468,0.09113939428329468,64.39697265625,1619786,0.001,1000,1000,0.5806216958121245,0.44153505531593545,0.31889644265174866,1.1650487537940486,197.61598205566406,2.4980952656082023,0.7560987000894094,0.6072033225727687,0.8393028811522156,37,0.7342016346047978,0.8393770559382425,0.600114643371666,0.853015297873873,17,0.7641689990612605,0.7174448549366709,0.6137970328911355,0.2663986421330109,0.5378295330292053,0.57748914,0.2909199893474579,0.5338675157475057,0.46098325782749133,0.9676759678783169,0.9773686808701985,0.7541680963092744,0.746813178062439,0.8065824101535057,0.9725223243742577,0.8708551096079987,0.1304461942257218,0.59022057056427,0.6743299961090088,0.9864466205526781,0.5953608453629197,0.5897757411003113,0.7225779294967651,0.47354087233543396,1.2052276134490967,0.5748661160469055,0.22424094378948212,1.4525736570358276,0,3.1384157595451487,1.2953472524501246,0.40604,0.404736,0.322,10.669798,True,50,dpmm,endo
